wall_time,fusion_id,trigger_source,trigger_stamp,camera_found,lidar_found,gps_found,gps_interpolated,imu_found,depth_found,odom_found,camera_delta_ms,lidar_delta_ms,imu_delta_ms,depth_delta_ms,odom_delta_ms,gps_delta_ms,fusion_latency_ms
1786563859318,97,camera,1775762873.264999866,1,0,1,1,1,0,1,0.0000,-1.0000,3.1437,-1.0000,0.0000,0.0000,0.2569
1786563860051,98,camera,1775762873.998490095,1,0,1,0,1,0,1,0.0000,-1.0000,1.5462,-1.0000,0.0000,525.5911,0.2824
1786563860446,99,camera,1775762874.398504019,1,0,1,0,1,0,1,0.0000,-1.0000,0.8653,-1.0000,0.0000,925.6051,0.3465
1786563860542,100,lidar,18152.813803560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1496
1786563861291,101,camera,1775762875.231988907,1,0,1,0,1,0,1,0.0000,-1.0000,1.1578,-1.0000,0.0000,1759.0901,0.2469
1786563861557,102,lidar,18153.813798560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1854
1786563861644,103,camera,1775762875.598608017,1,0,1,0,1,0,1,0.0000,-1.0000,3.0968,-1.0000,0.0000,2125.7091,0.2832
1786563862072,104,camera,1775762876.033251047,1,0,1,0,1,0,1,0.0000,-1.0000,0.3827,-1.0000,0.0000,2560.3521,0.2806
1786563862437,105,camera,1775762876.398741007,1,0,1,1,1,0,1,0.0000,-1.0000,2.1052,-1.0000,0.0000,0.0000,0.3099
1786563862837,106,camera,1775762876.798747063,1,0,1,1,1,0,1,0.0000,-1.0000,0.0058,-1.0000,0.0000,0.0000,0.3419
1786563863205,107,camera,1775762877.165367126,1,0,1,1,1,0,1,0.0000,-1.0000,4.1208,-1.0000,0.0000,0.0000,0.2718
1786563863558,108,lidar,18155.813795560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.2049
1786563863609,109,camera,1775762877.566113949,1,0,1,1,1,0,1,0.0000,-1.0000,3.2672,-1.0000,0.0000,0.0000,0.3384
1786563864837,110,camera,1775762878.798864126,1,0,1,0,1,0,1,0.0000,-1.0000,5.0622,-1.0000,0.0000,62.2101,0.2589
1786563865221,111,camera,1775762879.165616035,1,0,1,0,1,0,1,0.0000,-1.0000,4.2548,-1.0000,0.0000,428.9621,0.3080
1786563865573,112,lidar,18157.813787560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1165
1786563866403,113,camera,1775762880.365927219,1,0,1,0,1,0,0,0.0000,-1.0000,6.0283,-1.0000,-1.0000,1629.2731,0.2720
1786563866653,114,lidar,18158.813810560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1446
1786563866784,115,camera,1775762880.732365131,1,0,1,0,1,0,1,0.0000,-1.0000,0.1888,-1.0000,0.0000,1995.7111,0.2613
1786563867437,116,camera,1775762881.399127960,1,0,1,1,1,0,1,0.0000,-1.0000,0.9043,-1.0000,0.0000,0.0000,0.2702
1786563867819,117,camera,1775762881.765749931,1,0,1,1,1,0,1,0.0000,-1.0000,2.2187,-1.0000,0.0000,0.0000,0.2997
1786563868086,118,lidar,18159.813811560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1429
1786563868217,119,camera,1775762882.167490959,1,0,1,1,1,0,1,0.0000,-1.0000,4.4523,-1.0000,0.0000,0.0000,0.3720
1786563868612,120,camera,1775762882.565872192,1,0,1,1,1,0,1,0.0000,-1.0000,4.8992,-1.0000,0.0000,0.0000,0.2568
1786563868983,121,camera,1775762882.932381868,1,0,1,1,1,0,1,0.0000,-1.0000,0.5367,-1.0000,0.0000,0.0000,0.3137
1786563869369,122,camera,1775762883.299238205,1,0,1,1,1,0,1,0.0000,-1.0000,3.5582,-1.0000,0.0000,0.0000,0.3452
1786563869585,123,lidar,18160.813840560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1549
1786563869673,124,camera,1775762883.632627010,1,0,1,0,1,0,1,0.0000,-1.0000,4.7892,-1.0000,0.0000,164.1250,0.3749
1786563869684,125,lidar,18161.813806560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1422
1786563870047,126,camera,1775762883.999242067,1,0,1,0,1,0,1,0.0000,-1.0000,0.6792,-1.0000,0.0000,530.7400,0.4209
1786563870821,127,lidar,18162.813841560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1858
1786563871675,128,camera,1775762885.632668257,1,0,1,0,1,0,1,0.0000,-1.0000,4.8632,-1.0000,0.0000,2164.1660,0.2932
1786563872107,129,camera,1775762886.032878160,1,0,1,1,1,0,1,0.0000,-1.0000,2.4218,-1.0000,66.7590,0.0000,0.3232
1786563872601,130,lidar,18164.813768560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1818
1786563873367,131,camera,1775762887.266244173,1,0,1,1,1,0,1,0.0000,-1.0000,4.4578,-1.0000,0.0000,0.0000,0.3236
1786563874472,132,camera,1775762888.433001995,1,0,1,1,1,0,1,0.0000,-1.0000,3.8642,-1.0000,0.0000,0.0000,0.2619
1786563874890,133,camera,1775762888.832877159,1,0,1,0,1,0,1,0.0000,-1.0000,1.5917,-1.0000,0.0000,346.4326,0.3227
1786563875639,134,camera,1775762889.599744081,1,0,1,0,1,0,1,0.0000,-1.0000,0.4603,-1.0000,0.0000,1113.2996,0.2947
1786563876388,135,camera,1775762890.333003998,1,0,1,0,1,0,1,0.0000,-1.0000,5.7697,-1.0000,0.0000,1846.5596,0.2825
1786563876703,136,camera,1775762890.668476820,1,0,1,0,1,0,1,0.0000,-1.0000,3.0108,-1.0000,0.0000,2182.0326,0.3056
1786563877050,137,camera,1775762890.999864101,1,0,1,1,1,0,1,0.0000,-1.0000,2.4247,-1.0000,0.0000,0.0000,0.3748
1786563877173,138,lidar,18168.813814560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1572
1786563877417,139,camera,1775762891.333235979,1,0,1,1,1,0,1,0.0000,-1.0000,3.3427,-1.0000,0.0000,0.0000,0.2831
1786563878081,140,camera,1775762892.034694195,1,0,1,1,1,0,1,0.0000,-1.0000,3.3872,-1.0000,0.0000,0.0000,0.3357
1786563878497,141,camera,1775762892.433287859,1,0,1,1,1,0,1,0.0000,-1.0000,4.9282,-1.0000,0.0000,0.0000,0.3150
1786563878851,142,camera,1775762892.799998999,1,0,1,1,1,0,1,0.0000,-1.0000,4.7003,-1.0000,0.0000,0.0000,0.3569
1786563879215,143,camera,1775762893.166622877,1,0,1,1,1,0,1,0.0000,-1.0000,0.9532,-1.0000,0.0000,0.0000,0.3971
1786563879538,144,camera,1775762893.499989033,1,0,1,0,1,0,1,0.0000,-1.0000,0.3953,-1.0000,0.0000,38.0922,0.2909
1786563879630,145,lidar,18171.813807560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1748
1786563879896,146,camera,1775762893.834213018,1,0,1,0,1,0,1,0.0000,-1.0000,2.5357,-1.0000,0.0000,372.3162,0.3498
1786563880050,147,camera,1775762894.000006199,1,0,1,0,1,0,0,0.0000,-1.0000,1.5177,-1.0000,-1.0000,538.1092,0.2752
1786563880406,148,camera,1775762894.366760015,1,0,1,0,1,0,0,0.0000,-1.0000,4.8737,-1.0000,-1.0000,904.8632,0.3714
1786563880817,149,camera,1775762894.767400980,1,0,1,0,1,0,1,0.0000,-1.0000,0.3073,-1.0000,0.0000,1305.5042,0.2026
1786563881207,150,camera,1775762895.166875124,1,0,1,0,1,0,1,0.0000,-1.0000,0.7487,-1.0000,0.0000,1704.9782,0.2953
1786563881224,151,lidar,18172.813802560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1870
1786563881704,152,camera,1775762895.666896105,1,0,1,0,1,0,1,0.0000,-1.0000,0.1227,-1.0000,0.0000,2204.9992,0.3111
1786563882095,153,camera,1775762896.033382177,1,0,1,1,1,0,1,0.0000,-1.0000,3.8583,-1.0000,0.0000,0.0000,0.2951
1786563882486,154,camera,1775762896.433620930,1,0,1,1,1,0,1,0.0000,-1.0000,4.0377,-1.0000,0.0000,0.0000,0.3105
1786563882807,155,camera,1775762896.766870975,1,0,1,1,1,0,1,0.0000,-1.0000,0.1777,-1.0000,0.0000,0.0000,0.2929
1786563883069,156,lidar,18174.813808560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.2124
1786563883199,157,camera,1775762897.133798122,1,0,1,1,1,0,1,0.0000,-1.0000,2.0693,-1.0000,0.0000,0.0000,0.3215
1786563883582,158,camera,1775762897.533627033,1,0,1,1,1,0,1,0.0000,-1.0000,3.3017,-1.0000,0.0000,0.0000,0.3287
1786563883954,159,camera,1775762897.900827169,1,0,1,1,1,0,1,0.0000,-1.0000,0.7817,-1.0000,0.0000,0.0000,0.3450
1786563884191,160,lidar,18175.813812560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1762
1786563884360,161,camera,1775762898.300381899,1,0,1,1,1,0,1,0.0000,-1.0000,1.3617,-1.0000,66.6320,0.0000,0.3759
1786563884618,162,lidar,18176.813804560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.2246
1786563884676,163,camera,1775762898.633749008,1,0,1,0,1,0,0,0.0000,-1.0000,5.3128,-1.0000,-1.0000,162.5097,0.3628
1786563886270,164,camera,1775762900.233884096,1,0,1,0,1,0,1,0.0000,-1.0000,2.0853,-1.0000,0.0000,1762.6447,0.2500
1786563886631,165,lidar,18178.813816560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1476
1786563887023,166,camera,1775762900.967123985,1,0,1,1,1,0,1,0.0000,-1.0000,0.1753,-1.0000,0.0000,0.0000,0.2133
1786563887738,167,camera,1775762901.700629950,1,0,1,1,1,0,1,0.0000,-1.0000,3.6013,-1.0000,0.0000,0.0000,0.5237
1786563888405,168,camera,1775762902.367383957,1,0,1,1,1,0,1,0.0000,-1.0000,6.1853,-1.0000,0.0000,0.0000,0.3056
1786563888650,169,lidar,18180.813791560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1641
1786563888823,170,camera,1775762902.767255068,1,0,1,1,1,0,1,0.0000,-1.0000,5.5263,-1.0000,0.0000,0.0000,0.1789
1786563889483,171,camera,1775762903.434138060,1,0,1,1,1,0,1,0.0000,-1.0000,0.7918,-1.0000,0.0000,0.0000,0.3189
1786563889789,172,camera,1775762903.734012127,1,0,1,0,1,0,1,0.0000,-1.0000,1.8308,-1.0000,0.0000,250.0036,0.4253
1786563890045,173,lidar,18181.813784560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1548
1786563890091,174,camera,1775762904.034018040,1,0,1,0,1,0,0,0.0000,-1.0000,2.0632,-1.0000,-1.0000,550.0096,0.3355
1786563890371,175,camera,1775762904.334247112,1,0,1,0,1,0,0,0.0000,-1.0000,4.3958,-1.0000,-1.0000,850.2386,0.3054
1786563890577,176,lidar,18182.813789560,0,1,0,0,0,0,0,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,0.1712
1786563890722,177,camera,1775762904.667523146,1,0,1,0,1,0,1,0.0000,-1.0000,5.9143,-1.0000,0.0000,1183.5146,0.2894
1786563891036,178,camera,1775762905.000786066,1,0,1,0,1,0,1,0.0000,-1.0000,0.1777,-1.0000,0.0000,1516.7776,0.3376
1786563891373,179,camera,1775762905.336220980,1,0,1,0,1,0,1,0.0000,-1.0000,4.0977,-1.0000,0.0000,1852.2126,0.3543
1786563891685,180,camera,1775762905.634289265,1,0,1,0,1,0,1,0.0000,-1.0000,4.8647,-1.0000,0.0000,2150.2806,0.2997
1786563892019,181,camera,1775762905.967671156,1,0,1,1,1,0,1,0.0000,-1.0000,3.2402,-1.0000,0.0000,0.0000,0.4108
